"Player","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG"
"Kendall Brown","BU","34","27.0","9.7","3.9","6.6",".584","0.4","1.2",".341","1.5","2.2",".689","1.7","3.1","4.9","1.9","1.0","0.4"
"Max Christie","MSU","35","30.7","9.3","3.2","8.4",".382","1.1","3.5",".317","1.7","2.1",".824","0.9","2.6","3.5","1.5","0.5","0.5"
"Moussa Diabaté","UM","32","24.8","9.0","3.7","6.8",".542","0.1","0.4",".214","1.6","2.6",".619","2.4","3.6","6.0","0.8","0.3","0.9"
"Ousmane Dieng","NZB","23","20.8","8.9","3.5","8.7",".398","1.1","4.2",".271","0.8","1.2",".667","0.5","2.7","3.1","1.0","0.6","0.3"
"JD Davison","UA","33","25.8","8.5","3.0","6.5",".463","0.8","2.5",".301","1.8","2.5",".728","1.1","3.7","4.8","4.3","1.0","0.4"
"Ibou Badji","FOR","38","20.0","8.3","3.4","5.9",".575","0.0","0.0",".000","1.4","2.0",".720","1.6","2.5","4.1","0.3","0.5","1.2"
"Dalen Terry","U of A","37","27.7","8.0","3.1","6.2",".502","0.8","2.1",".364","1.1","1.4",".736","1.2","3.7","4.8","3.9","1.2","0.3"
"Luke Travers","PER","27","22.0","7.8","3.0","7.1",".417","0.6","2.5",".250","1.3","1.9",".680","1.4","4.0","5.4","2.3","0.9","0.7"
"Makur Maker","SYD","21","15.8","7.7","2.2","5.0",".452","0.7","2.1",".333","2.5","3.2",".779","1.2","4.0","5.2","0.7","0.3","0.3"
"Ziga Samar","MON","30","20.7","7.6","2.7","5.6",".485","0.8","1.7",".471","1.3","1.7",".769","0.6","2.1","2.7","4.7","1.0","0.1"
"Gabriele Procida","BOL","26","18.5","7.0","2.3","4.3",".522","0.9","2.3",".383","1.5","2.0",".784","0.6","2.4","3.0","0.7","0.8","0.3"
"Josh Minott","UM","33","14.5","6.6","2.5","4.8",".522","0.1","0.4",".143","1.5","2.0",".754","1.6","2.2","3.8","0.9","0.8","0.7"
"Khalifa Diop","GCN","54","16.0","6.5","2.6","4.1",".621","0.0","0.0",".000","1.4","2.4",".566","1.6","2.5","4.2","0.6","0.5","0.7"
"Eric Ayala","ATL","25","15.6","5.9","1.9","5.1",".378","0.8","2.9",".288","1.2","1.7",".698","0.3","1.7","2.0","1.1","0.6","0.0"
"John Butler","FSU","31","19.0","5.9","2.2","5.4",".416","1.1","2.7",".393","0.4","0.8",".440","0.7","2.5","3.2","0.7","0.4","1.2"
"Peyton Watson","UCLA","32","12.7","3.3","1.2","3.7",".322","0.2","1.0",".226","0.7","1.0",".688","0.9","2.0","2.9","0.8","0.6","0.6"
"Yannick Nzosa","UNI","40","10.4","2.1","0.9","2.4",".379","0.0","0.2",".000","0.3","0.5",".611","0.8","1.0","1.8","0.2","0.3","0.6"
